,Fibonacci string
0,0.0
1,1.618034
2,2.618034
3,4.236068
4,5.854102
5,6.854102
6,8.472136
7,9.472136
8,11.09017
9,12.708204
10,13.708204
11,15.326238
12,16.944272
13,17.944272
14,19.562306
15,20.562306
16,22.18034
17,23.798374
18,24.798374
19,26.416408
20,27.416408
21,29.034442
22,30.652476
23,31.652476
24,33.27051
25,34.888544
26,35.888544
27,37.506578
28,38.506578
29,40.124612
30,41.742646
31,42.742646
32,44.36068
33,45.978714
34,46.978714
35,48.596748
36,49.596748
37,51.214782
38,52.832816
39,53.832816
40,55.45085
41,56.45085
42,58.068884
43,59.686918
44,60.686918
45,62.304952
46,63.922986
47,64.922986
48,66.54102
49,67.54102
50,69.159054
51,70.777088
52,71.777088
53,73.395122
54,74.395122
55,76.013156
56,77.63119
57,78.63119
58,80.249224
59,81.867258
60,82.867258
61,84.485292
62,85.485292
63,87.103326
64,88.72136
65,89.72136
66,91.339394
67,92.957428
68,93.957428
69,95.575462
70,96.575462
71,98.193496
72,99.811529
73,100.811529
74,102.429563
75,103.429563
76,105.047597
77,106.665631
78,107.665631
79,109.283665
80,110.901699
81,111.901699
82,113.519733
83,114.519733
84,116.137767
85,117.755801
86,118.755801
87,120.373835
88,121.991869
89,122.991869
90,124.609903
91,125.609903
92,127.227937
93,128.845971
94,129.845971
95,131.464005
96,132.464005
97,134.082039
98,135.700073
99,136.700073
100,138.318107
101,139.936141
102,140.936141
103,142.554175
104,143.554175
105,145.172209
106,146.790243
107,147.790243
108,149.408277
109,150.408277
110,152.026311
111,153.644345
112,154.644345
113,156.262379
114,157.880413
115,158.880413
116,160.498447
117,161.498447
118,163.116481
119,164.734515
120,165.734515
121,167.352549
122,168.970583
123,169.970583
124,171.588617
125,172.588617
126,174.206651
127,175.824685
128,176.824685
129,178.442719
130,179.442719
131,181.060753
132,182.678787
133,183.678787
134,185.296821
135,186.914855
136,187.914855
137,189.532889
138,190.532889
139,192.150923
140,193.768957
141,194.768957
142,196.386991
143,197.386991
144,199.005025
145,200.623059
146,201.623059
147,203.241093
148,204.859127
149,205.859127
150,207.477161
151,208.477161
152,210.095195
153,211.713229
154,212.713229
155,214.331263
156,215.949297
157,216.949297
158,218.567331
159,219.567331
160,221.185365
161,222.803399
162,223.803399
163,225.421433
164,226.421433
165,228.039467
166,229.657501
167,230.657501
168,232.275535
169,233.893569
170,234.893569
171,236.511603
172,237.511603
173,239.129637
174,240.747671
175,241.747671
176,243.365705
177,244.983739
178,245.983739
179,247.601773
180,248.601773
181,250.219807
182,251.837841
183,252.837841
184,254.455875
185,255.455875
186,257.073909
187,258.691943
188,259.691943
189,261.309977
190,262.928011
191,263.928011
192,265.546045
193,266.546045
194,268.164079
195,269.782113
196,270.782113
197,272.400147
198,273.400147
199,275.018181
200,276.636215
201,277.636215
202,279.254249
203,280.872283
204,281.872283
205,283.490317
206,284.490317
207,286.108351
208,287.726385
209,288.726385
210,290.344419
211,291.962453
212,292.962453
213,294.580487
214,295.580487
215,297.198521
216,298.816554
217,299.816554
218,301.434588
219,302.434588
220,304.052622
221,305.670656
222,306.670656
223,308.28869
224,309.906724
225,310.906724
226,312.524758
227,313.524758
228,315.142792
229,316.760826
230,317.760826
231,319.37886
232,320.996894
233,321.996894
234,323.614928
235,324.614928
236,326.232962
237,327.850996
238,328.850996
239,330.46903
240,331.46903
241,333.087064
242,334.705098
243,335.705098
244,337.323132
245,338.941166
246,339.941166
247,341.5592
248,342.5592
249,344.177234
250,345.795268
251,346.795268
252,348.413302
253,349.413302
254,351.031336
255,352.64937
256,353.64937
257,355.267404
258,356.885438
259,357.885438
260,359.503472
261,360.503472
262,362.121506
263,363.73954
264,364.73954
265,366.357574
266,367.975608
267,368.975608
268,370.593642
269,371.593642
270,373.211676
271,374.82971
272,375.82971
273,377.447744
274,378.447744
275,380.065778
276,381.683812
277,382.683812
278,384.301846
279,385.91988
280,386.91988
281,388.537914
282,389.537914
283,391.155948
284,392.773982
285,393.773982
286,395.392016
287,396.392016
288,398.01005
289,399.628084
290,400.628084
291,402.246118
292,403.864152
293,404.864152
294,406.482186
295,407.482186
296,409.10022
297,410.718254
298,411.718254
299,413.336288
300,414.954322
301,415.954322
302,417.572356
303,418.572356
304,420.19039
305,421.808424
306,422.808424
307,424.426458
308,425.426458
309,427.044492
310,428.662526
311,429.662526
312,431.28056
313,432.898594
314,433.898594
315,435.516628
316,436.516628
317,438.134662
318,439.752696
319,440.752696
320,442.37073
321,443.988764
322,444.988764
323,446.606798
324,447.606798
325,449.224832
326,450.842866
327,451.842866
328,453.4609
329,454.4609
330,456.078934
331,457.696968
332,458.696968
333,460.315002
334,461.933036
335,462.933036
336,464.55107
337,465.55107
338,467.169104
339,468.787138
340,469.787138
341,471.405172
342,472.405172
343,474.023206
344,475.64124
345,476.64124
346,478.259274
347,479.877308
348,480.877308
349,482.495342
350,483.495342
351,485.113376
352,486.73141
353,487.73141
354,489.349444
355,490.967478
356,491.967478
357,493.585512
358,494.585512
359,496.203546
360,497.821579
361,498.821579
362,500.439613
363,501.439613
364,503.057647
365,504.675681
366,505.675681
367,507.293715
368,508.911749
369,509.911749
370,511.529783
371,512.529783
372,514.147817
373,515.765851
374,516.765851
375,518.383885
376,519.383885
377,521.001919
378,522.619953
379,523.619953
380,525.237987
381,526.856021
382,527.856021
383,529.474055
384,530.474055
385,532.092089
386,533.710123
387,534.710123
388,536.328157
389,537.946191
390,538.946191
391,540.564225
392,541.564225
393,543.182259
394,544.800293
395,545.800293
396,547.418327
397,548.418327
398,550.036361
399,551.654395
400,552.654395
401,554.272429
402,555.890463
403,556.890463
404,558.508497
405,559.508497
406,561.126531
407,562.744565
408,563.744565
409,565.362599
410,566.980633
411,567.980633
412,569.598667
413,570.598667
414,572.216701
415,573.834735
416,574.834735
417,576.452769
418,577.452769
419,579.070803
420,580.688837
421,581.688837
422,583.306871
423,584.924905
424,585.924905
425,587.542939
426,588.542939
427,590.160973
428,591.779007
429,592.779007
430,594.397041
431,595.397041
432,597.015075
433,598.633109
434,599.633109
435,601.251143
436,602.869177
437,603.869177
438,605.487211
439,606.487211
440,608.105245
441,609.723279
442,610.723279
443,612.341313
444,613.959347
445,614.959347
446,616.577381
447,617.577381
448,619.195415
449,620.813449
450,621.813449
451,623.431483
452,624.431483
453,626.049517
454,627.667551
455,628.667551
456,630.285585
457,631.903619
458,632.903619
459,634.521653
460,635.521653
461,637.139687
462,638.757721
463,639.757721
464,641.375755
465,642.993789
466,643.993789
467,645.611823
468,646.611823
469,648.229857
470,649.847891
471,650.847891
472,652.465925
473,653.465925
474,655.083959
475,656.701993
476,657.701993
477,659.320027
478,660.938061
479,661.938061
480,663.556095
481,664.556095
482,666.174129
483,667.792163
484,668.792163
485,670.410197
486,671.410197
487,673.028231
488,674.646265
489,675.646265
490,677.264299
491,678.882333
492,679.882333
493,681.500367
494,682.500367
495,684.118401
496,685.736435
497,686.736435
498,688.354469
499,689.972503
